coarse_cat,wos_cat
Arts_Humanities,Art
Arts_Humanities,Architecture
Arts_Humanities,Classics
Arts_Humanities,Cultural Studies
Arts_Humanities,Dance
Arts_Humanities,Folklore
Arts_Humanities,History
Arts_Humanities,History & Philosophy of Science
Arts_Humanities,"Humanities, Multidisciplinary"
Arts_Humanities,Language & Linguistics
Arts_Humanities,Linguistics
Arts_Humanities,Literary Reviews
Arts_Humanities,Literary Theory & Criticism
Arts_Humanities,Literature
Arts_Humanities,"Literature, African, Australian, Canadian"
Arts_Humanities,"Literature, American"
Arts_Humanities,"Literature, British Isles "
Arts_Humanities,"Literature, German, Dutch, Scandanavian"
Arts_Humanities,"Literature, Romance"
Arts_Humanities,"Literature, Slavic"
Arts_Humanities,Medieval & Renaissance Studies
Arts_Humanities,Music
Arts_Humanities,Philosophy
Arts_Humanities,Poetry
Arts_Humanities,Religion
Arts_Humanities,Theater
Clinical_PreClinical_Health,Allergy
Clinical_PreClinical_Health,Anesthesiology
Clinical_PreClinical_Health,Audiology & Speech-Language Pathology
Clinical_PreClinical_Health,Cardiac & Cardiovascular Systems
Clinical_PreClinical_Health,Clinical Neurology
Clinical_PreClinical_Health,Critical Care Medicine
Clinical_PreClinical_Health,"Dentistry, Oral Surgery & Medicine"
Clinical_PreClinical_Health,Dermatology
Clinical_PreClinical_Health,Emergency Medicine
Clinical_PreClinical_Health,Endocrinology & Metabolism
Clinical_PreClinical_Health,Gastroenterology & Hepatology
Clinical_PreClinical_Health,Geriatrics & Gerontology
Clinical_PreClinical_Health,Health Care Sciences & Services
Clinical_PreClinical_Health,Hematology
Clinical_PreClinical_Health,Infectious Diseases
Clinical_PreClinical_Health,Integrative & Complementary Medicine
Clinical_PreClinical_Health,Medical Ethics
Clinical_PreClinical_Health,Medical Informatics
Clinical_PreClinical_Health,Medical Laboratory Technology
Clinical_PreClinical_Health,"Medicine, General & Internal"
Clinical_PreClinical_Health,"Medicine, Legal"
Clinical_PreClinical_Health,"Medicine, Research & Experimental "
Clinical_PreClinical_Health,Neuroimaging
Clinical_PreClinical_Health,Nursing
Clinical_PreClinical_Health,Nutrition & Dietetics
Clinical_PreClinical_Health,Obstetrics & Gynecology
Clinical_PreClinical_Health,Oncology
Clinical_PreClinical_Health,Ophthalmology
Clinical_PreClinical_Health,Orthopedics
Clinical_PreClinical_Health,Otorhinolaryngology
Clinical_PreClinical_Health,Pathology
Clinical_PreClinical_Health,Pediatrics
Clinical_PreClinical_Health,Peripheral Vascular Disease
Clinical_PreClinical_Health,Pharmacology & Pharmacy
Clinical_PreClinical_Health,Primary Health Care
Clinical_PreClinical_Health,Psychiatry
