"","coarse_cat","wos_cat"
"1","Arts_Humanities","architecture"
"2","Arts_Humanities","art"
"3","Arts_Humanities","cultural studies"
"4","Arts_Humanities","film, radio, television"
"5","Arts_Humanities","folklore"
"6","Arts_Humanities","history"
"7","Arts_Humanities","history & philosophy of science"
"8","Arts_Humanities","humanities, multidisciplinary"
"9","Arts_Humanities","language & linguistics"
"10","Arts_Humanities","linguistics"
"11","Arts_Humanities","literary reviews"
"12","Arts_Humanities","literature"
"13","Arts_Humanities","philosophy"
"14","Arts_Humanities","poetry"
"15","Arts_Humanities","religion"
"16","Clinical_PreClinical_Health","allergy"
"17","Clinical_PreClinical_Health","anesthesiology"
"18","Clinical_PreClinical_Health","audiology & speech-language pathology"
"19","Clinical_PreClinical_Health","cardiac & cardiovascular systems"
"20","Clinical_PreClinical_Health","clinical neurology"
"21","Clinical_PreClinical_Health","critical care medicine"
"22","Clinical_PreClinical_Health","dentistry, oral surgery & medicine"
"23","Clinical_PreClinical_Health","dermatology"
"24","Clinical_PreClinical_Health","emergency medicine"
"25","Clinical_PreClinical_Health","endocrinology & metabolism"
"26","Clinical_PreClinical_Health","gastroenterology & hepatology"
"27","Clinical_PreClinical_Health","geriatrics & gerontology"
"28","Clinical_PreClinical_Health","health care sciences & services"
"29","Clinical_PreClinical_Health","hematology"
"30","Clinical_PreClinical_Health","infectious diseases"
"31","Clinical_PreClinical_Health","integrative & complementary medicine"
"32","Clinical_PreClinical_Health","medical ethics"
"33","Clinical_PreClinical_Health","medical informatics"
"34","Clinical_PreClinical_Health","medical laboratory technology"
"35","Clinical_PreClinical_Health","medicine, general & internal"
"36","Clinical_PreClinical_Health","medicine, legal"
"37","Clinical_PreClinical_Health","medicine, research & experimental"
"38","Clinical_PreClinical_Health","neuroimaging"
"39","Clinical_PreClinical_Health","nursing"
"40","Clinical_PreClinical_Health","nutrition & dietetics"
"41","Clinical_PreClinical_Health","obstetrics & gynecology"
"42","Clinical_PreClinical_Health","oncology"
"43","Clinical_PreClinical_Health","ophthalmology"
"44","Clinical_PreClinical_Health","pathology"
"45","Clinical_PreClinical_Health","pediatrics"
"46","Clinical_PreClinical_Health","peripheral vascular disease"
"47","Clinical_PreClinical_Health","pharmacology & pharmacy"
"48","Clinical_PreClinical_Health","primary health care"
"49","Clinical_PreClinical_Health","psychiatry"
"50","Clinical_PreClinical_Health","public, environmental & occupational health"
"51","Clinical_PreClinical_Health","radiology, nuclear medicine & medical imaging"
"52","Clinical_PreClinical_Health","rehabilitation"
"53","Clinical_PreClinical_Health","respiratory system"
"54","Clinical_PreClinical_Health","rheumatology"
"55","Clinical_PreClinical_Health","sport sciences"
"56","Clinical_PreClinical_Health","substance abuse"
"57","Clinical_PreClinical_Health","surgery"
"58","Clinical_PreClinical_Health","transplantation"
"59","Clinical_PreClinical_Health","tropical medicine"
"60","Clinical_PreClinical_Health","urology & nephrology"
"61","Engineering_Technology","acoustics"
"62","Engineering_Technology","automation & control systems"
"63","Engineering_Technology","computer science, artificial intelligence"
"64","Engineering_Technology","computer science, cybernetics"
"65","Engineering_Technology","computer science, hardware & architecture"
"66","Engineering_Technology","computer science, information systems"
"67","Engineering_Technology","computer science, interdisciplinary applications"
"68","Engineering_Technology","computer science, software engineering"
"69","Engineering_Technology","computer science, theory & methods"
"70","Engineering_Technology","construction & building technology"
"71","Engineering_Technology","energy & fuels"
"72","Engineering_Technology","engineering, biomedical"
"73","Engineering_Technology","engineering, chemical"
"74","Engineering_Technology","engineering, civil"
"75","Engineering_Technology","engineering, electrical & electronic"
"76","Engineering_Technology","engineering, environmental"
"77","Engineering_Technology","engineering, geological"
"78","Engineering_Technology","engineering, industrial"
"79","Engineering_Technology","engineering, manufacturing"
"80","Engineering_Technology","engineering, marine"
"81","Engineering_Technology","engineering, mechanical"
"82","Engineering_Technology","engineering, multidisciplinary"
"83","Engineering_Technology","engineering, ocean"
