"uid1","article","citedjournal"
1,"Marine resource management and conservation in the Anthropocene"," LOBSTER GANGS MAINE"
1,"Marine resource management and conservation in the Anthropocene"," GLOBAL ENVIRON CHANG"
1,"Marine resource management and conservation in the Anthropocene"," OCEAN COAST MANAGE"
1,"Marine resource management and conservation in the Anthropocene"," MAR POLICY"
1,"Marine resource management and conservation in the Anthropocene"," CONSERV LETT"
1,"Marine resource management and conservation in the Anthropocene"," GLOBAL ENVIRON CHANG"
1,"Marine resource management and conservation in the Anthropocene"," BIOL CONSERV"
1,"Marine resource management and conservation in the Anthropocene"," ECOL APPL"
1,"Marine resource management and conservation in the Anthropocene"," SCIENCE"
1,"Marine resource management and conservation in the Anthropocene"," 3 WORLD POLITICAL EC"
1,"Marine resource management and conservation in the Anthropocene"," ENVIRON CONSERV"
1,"Marine resource management and conservation in the Anthropocene"," CONSERV BIOL"
1,"Marine resource management and conservation in the Anthropocene"," STRAT PLAN BIOD 2011"
1,"Marine resource management and conservation in the Anthropocene"," AM FISH S S"
1,"Marine resource management and conservation in the Anthropocene"," MPANEWS"
1,"Marine resource management and conservation in the Anthropocene"," NATURE"
1,"Marine resource management and conservation in the Anthropocene"," P NATL ACAD SCI USA"
1,"Marine resource management and conservation in the Anthropocene"," NATURE"
1,"Marine resource management and conservation in the Anthropocene"," ECOL SOC"
1,"Marine resource management and conservation in the Anthropocene"," MAR POLICY"
1,"Marine resource management and conservation in the Anthropocene"," SCIENCE"
1,"Marine resource management and conservation in the Anthropocene"," MAR POLICY"
1,"Marine resource management and conservation in the Anthropocene"," SOC JUSTICE RES"
1,"Marine resource management and conservation in the Anthropocene"," ANIM CONSERV"
1,"Marine resource management and conservation in the Anthropocene"," NATURE"
1,"Marine resource management and conservation in the Anthropocene"," ENVIRON CONSERV"
1,"Marine resource management and conservation in the Anthropocene"," G WRIGHT FORUM"
1,"Marine resource management and conservation in the Anthropocene"," AQUAT CONSERV"
1,"Marine resource management and conservation in the Anthropocene"," SCIENCE"
1,"Marine resource management and conservation in the Anthropocene"," HUMAN NATURE INTERAC"
1,"Marine resource management and conservation in the Anthropocene"," MAR POLICY"
1,"Marine resource management and conservation in the Anthropocene"," BIOSCIENCE"
1,"Marine resource management and conservation in the Anthropocene"," GLOBAL ENVIRON CHANG"
1,"Marine resource management and conservation in the Anthropocene"," CONSERV SOC"
1,"Marine resource management and conservation in the Anthropocene"," ENVIRON CONSERV"
1,"Marine resource management and conservation in the Anthropocene"," SCIENCE"
1,"Marine resource management and conservation in the Anthropocene"," COAST MANAGE"
1,"Marine resource management and conservation in the Anthropocene"," ENVIRON SOC"
1,"Marine resource management and conservation in the Anthropocene"," CONSERV BIOL"
1,"Marine resource management and conservation in the Anthropocene"," OCEAN COAST MANAGE"
1,"Marine resource management and conservation in the Anthropocene"," ANNU REV ECOL SYST"
1,"Marine resource management and conservation in the Anthropocene"," REV FISH BIOL FISHER"
