"uid1","article","citedjournal"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ECOL ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ENERGY"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ENERG POLICY"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," PAP REG SCI"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," INT J SCI RES SOC SC"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," REV ECON STUD"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," J ECON SURV"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," J PERS SOC PSYCHOL"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ENVIRON DEV ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ENERG POLICY"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," J ENVIRON DEV"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ECOL INDIC"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," RENEW ENERG"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," J CLEAN PROD"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," TECHNOL FORECAST SOC"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," SCAND J ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," REV DEV ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," POPUL ENVIRON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ECOL ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ECOL ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," CLIM POLICY"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," TRADE ENV SURVEY LIT"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," J ACAD RES EC"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," HUMAN ECOLOGY REV"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," REV INT ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ECOL ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," HDB REGIONAL URBAN E"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," J DEV ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," CHIN J POPUL RESOUR"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ENVIRON IMPACT ASSES"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," [心理科学"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," J PUBLIC ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ECOL ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," J WORLD SYSTEMS RES"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," 4634 NBER"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," J ECONOMETRICS"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ENERG ECON"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," ENVIRON SCI POLLUT R"
1,"Can urbanization process and carbon emission abatement be harmonious? New evidence from China"," COMMUN MONOGR"
