"uid1","article","citedjournal"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MAR POLICY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," T I BRIT GEOGR"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," ENVIRON PLANN C"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," ANAL POLICY WHATS PR"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," DEMOCRACY PRACTICE P"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," GEOFORUM"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MAR POLICY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," REP COMM COUNC EUR P"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MAR POLICY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MARINE ECOSYSTEMS MA"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," OFFICIAL J EUROPEA L"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," PLAN THEORY PRACT"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," CRIT INQUIRY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," POLITICS TRUTH"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MARE PUBL SER"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," 1 IDA WORLD C"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," SUSTAIN SCI"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MAR POLICY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," J POLITICAL IDEOLOGI"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," J ENVIRON POL PLAN"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," J ENVIRON POL PLAN"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," DISCOURSE THEORY POL"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," CRIT POLICY STUD"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," JOINT HZG LOICZ ICES"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," ICES J MAR SCI"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MAR POLICY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MARIT STUD"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," NEW REFLECTIONS REVO"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," HEGEMONY SOCIALIST S"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," NATURAL EXPT ECOSYST"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MAR POLICY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," PLANNING POLITICAL D"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," AGONISTICTHINKING"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," POLITICAL"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," TOWN PLANN REV"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MAR POLICY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MAR POLICY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," THEORY EVENT"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," DISAGREEMENT"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," LAND USE POLICY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," J ENVIRON PLANN MAN"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," EC APPR CBD GUID"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," STANFORD ENV LAW J"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," MAR POLICY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," THEOR CULT SOC"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," INT J URBAN REGIONAL"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," DISCOURSE THEORY IN EUROPEAN POLITICS: IDENTITY"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," J ENVIRON POL PLAN"
1,"Taking power to sea: Towards a post-structuralist discourse theoretical critique of marine spatial planning"," J ENVIRON POL PLAN"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," TECHNOL INNOV MANAG"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," INN CAR COLL END US"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," OPER RES"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," TECHNOVATION"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," J TECHNOL TRANSFER"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," RES POLICY"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," CURR OPIN ENV SUST"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," OPEN INNOVATION NEW"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," OPEN INNOVATION RES"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," RES POLICY"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," TECHNOLOGY INNOVATIO"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," SCI PUBL POLICY"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," CREAT INNOV MANAG"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," J PUBLIC POLICY"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," BACKGR DOC PUBL CONS"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," HOR 2020 FRAM PROGR"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," ACAD MANAGE J"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," STATE OF THE ART UTI"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," BOUNDARY SPANNING LE"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," MINERVA"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," TRIPLE HELIX U IND G"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," COMMUNICATION"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," COMMUNICATION"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," EXPT CITY"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," CURR OPIN ENV SUST"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," J PREV INTERV COMMUN"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," ELECT J VIRTUAL ORG"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," NEW PRODUCTION KNOWL"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," U CITY"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," EMBEDDING LIVING LAB"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," CRITICAL FACTORS LIV"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," ACAD MANAGE J"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," TECHNOL INNOV MANAG"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," TECHNOL INNOV MANAG"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," SMALL GR RES"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," CULTURE ORG SOFTWARE"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," RES POLICY"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," CODESIGN"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," INT J PROD DEV"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," RES POLICY"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," ALTER"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," REGENERATIVE SUSTAINABLE DEVELOPMENT OF UNIVERSITIES AND CITIES: THE ROLE OF LIVING LABORATORIES"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," USER GUIDE SMART CAR"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," INT J TECHNOL MANAGE"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," TECHNOLOGY INNOVATIO"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," TECHNOLOGY INNOVATIO"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," TECHNOL INNOV MANAG"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," J ENG TECHNOL MANAGE"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," SCIENTOMETRICS"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," INT J SUSTAINABILITY"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," TECHNOLOGY INNOVATIO"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," FORUM QUALITATIVE SO"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," INT J ENV RES PUB HE"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," SCI PUBL POLICY"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," MARKETING HIGH TECHN"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," FORBES"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," COGNITIVE THEORY OF THE FIRM: LEARNING"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," IND MARKET MANAG"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," J INTERACT MARK"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," IND HIGHER EDUC"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," SAGE HDB ACTION RES"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," TECHNOL INNOV MANAG"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," POLICY SCI"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," EVALUATION SYSTEMATI"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," HEALTHCARE INNOVATIO"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," COLLABORATIVE RES RE"
2,"A framework for the evaluation of living labs as boundary spanners in innovation"," USER INNOVATIVENESS"
