"uid1","article","citedjournal"
1,"Estimates of present and future flood risk in the conterminous United States"," J HYDROL"
1,"Estimates of present and future flood risk in the conterminous United States"," B AM METEOROL SOC"
1,"Estimates of present and future flood risk in the conterminous United States",NA
1,"Estimates of present and future flood risk in the conterminous United States"," J CONTEMP WAT RES ED"
1,"Estimates of present and future flood risk in the conterminous United States"," J COASTAL RES"
1,"Estimates of present and future flood risk in the conterminous United States"," MAN RISKS EXTR EV DI"
1,"Estimates of present and future flood risk in the conterminous United States"," NAT CLIM CHANGE"
1,"Estimates of present and future flood risk in the conterminous United States"," P NATL ACAD SCI USA"
1,"Estimates of present and future flood risk in the conterminous United States"," HYDROLOG SCI J"
1,"Estimates of present and future flood risk in the conterminous United States"," SCI TOTAL ENVIRON"
1,"Estimates of present and future flood risk in the conterminous United States",NA
1,"Estimates of present and future flood risk in the conterminous United States"," HYDR INF CTR FLOOD L"
1,"Estimates of present and future flood risk in the conterminous United States"," WATER RESOUR RES"
1,"Estimates of present and future flood risk in the conterminous United States"," PLOS ONE"
1,"Estimates of present and future flood risk in the conterminous United States"," J CLIMATE"
1,"Estimates of present and future flood risk in the conterminous United States",NA
1,"Estimates of present and future flood risk in the conterminous United States"," MANAGING RISKS EXTRE"
1,"Estimates of present and future flood risk in the conterminous United States"," WATER RESOUR RES"
1,"Estimates of present and future flood risk in the conterminous United States"," HDB APPL HYDROLOGY"
1,"Estimates of present and future flood risk in the conterminous United States"," ENVIRON RES LETT"
1,"Estimates of present and future flood risk in the conterminous United States"," EPA600R16366F NAT CT"
1,"Estimates of present and future flood risk in the conterminous United States"," FLOOD LOSS AV BEN GR"
1,"Estimates of present and future flood risk in the conterminous United States"," ENVIRON RES LETT"
1,"Estimates of present and future flood risk in the conterminous United States"," WATER RESOUR RES"
1,"Estimates of present and future flood risk in the conterminous United States"," HYDROL EARTH SYST SC"
1,"Estimates of present and future flood risk in the conterminous United States"," NAT CLIM CHANGE"
1,"Estimates of present and future flood risk in the conterminous United States"," AQ GLOB FLOOD AN"""
2,"""Future heat-waves, droughts and floods in 571 European cities"""," HYDROL EARTH SYST SC"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," SCIENCE"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," HYDROL EARTH SYST SC"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," IWEM C MAN SCARC WAT"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," CLIMATIC CHANGE"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," NAT CLIM CHANGE"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," J GEOPHYS RES ATMOS"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," PHILOS T R SOC A"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," J GEOPHYS RES-ATMOS"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," MAPP IMP NAT HAZ TEC"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," ESPON CLIM CLIM CHAN"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," EU STRAT AD CLIM CHA"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," NAT GEOSCI"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," HYDROL EARTH SYST SC"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," WORLD WID REP RIV DI"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," INT J CLIMATOL"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," J HYDROL-REG STUD"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," P NATL ACAD SCI USA"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," J GEOPHYS RES-ATMOS"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," B CLIM JUNH 2017 POR"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," REG ENVIRON CHANGE"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," CLIMATE CHANGE 2014: IMPACTS"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," METEOROL APPL"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," CR BIOL"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," J GEOPHYS RES ATMOS"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," CLIMATIC CHANGE"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," NATURE"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," NAT CLIM CHANGE"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," CONTRIBUTION WORKING"
