"uid1","article","citedjournal"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," EC HUM WELL BEING SY"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," J ARID ENVIRON"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," REMOTE SENS ENVIRON"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," FRONT MAR SCI"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," GLOBAL CHANGE BIOL"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," ENVIRON SCI POLICY"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," ECOL ECON"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," SELF EV HOL ASS CLIM"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," VOL GUID RESP GOV TE"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," J APPL ECOL"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," Ecosystem Health and Sustainability"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," BIOSCIENCE"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," BIOL CONSERV"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," INT STANDARDS PRACTI"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," ENVIRON MANAGE"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," SOIL-GERMANY"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," RESILIENCE ADAPTATIO"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," GLOB SOC POLICY"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," SCI CONCEPTUAL FRAME"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," ECOL SOC"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," SCIENCE"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," SILVA FENN"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," ENV INDICATORS TYPOL"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," PRINCIPLES ECOSYSTEM"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," 52016 UN HABITAT GLT"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," ICCDCOP1123ADD1 UNCC"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," ICCDCOP1220ADD1 UNCC"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," ICCDCOP11CST2 UNCCDA"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," BUILD BLOCKS LDN TAR"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," UNL SUST POT LAND RE"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," LAND DEGRADATION SUR"
1,"Land in balance: The scientific conceptual framework for Land Degradation Neutrality"," NEW APPROACHES EVALU"
2,"Uncertainty in climate change impacts on water resources"," RISK ANAL"
2,"Uncertainty in climate change impacts on water resources"," GEOMORPHOLOGY"
2,"Uncertainty in climate change impacts on water resources"," CLIMATE CHANGE 2014: IMPACTS"
2,"Uncertainty in climate change impacts on water resources"," THEOR APPL CLIMATOL"
2,"Uncertainty in climate change impacts on water resources"," HYDROLOG SCI J"
2,"Uncertainty in climate change impacts on water resources"," WATER RESOUR RES"
2,"Uncertainty in climate change impacts on water resources"," EMPIRICAL MODEL BUIL"
2,"Uncertainty in climate change impacts on water resources"," J HYDROINFORM"
2,"Uncertainty in climate change impacts on water resources"," HYDROL EARTH SYST SC"
2,"Uncertainty in climate change impacts on water resources"," ECLAT 2 WORKSH"
2,"Uncertainty in climate change impacts on water resources"," HYDROL EARTH SYST SC"
2,"Uncertainty in climate change impacts on water resources"," P NATL ACAD SCI USA"
2,"Uncertainty in climate change impacts on water resources"," HYDROLOG SCI J"
2,"Uncertainty in climate change impacts on water resources"," CLIMATIC CHANGE"
2,"Uncertainty in climate change impacts on water resources"," UNCERTAINTY QUALITY"
2,"Uncertainty in climate change impacts on water resources"," HYDROL EARTH SYST SC"
2,"Uncertainty in climate change impacts on water resources"," ECOL SOC"
2,"Uncertainty in climate change impacts on water resources"," ENVIRON MANAGE"
2,"Uncertainty in climate change impacts on water resources"," J HYDROL"
2,"Uncertainty in climate change impacts on water resources"," P NATL ACAD SCI USA"
2,"Uncertainty in climate change impacts on water resources"," CLIMATIC CHANGE"
2,"Uncertainty in climate change impacts on water resources"," GLOBAL ENVIRON CHANG"
2,"Uncertainty in climate change impacts on water resources"," ENVIRON SCI POLICY"
2,"Uncertainty in climate change impacts on water resources"," CLIMATE CHANGE 2014: IMPACTS"
2,"Uncertainty in climate change impacts on water resources"," ECONOMETRICA"
2,"Uncertainty in climate change impacts on water resources"," CLIMATE RES"
2,"Uncertainty in climate change impacts on water resources"," NAT CLIM CHANGE"
2,"Uncertainty in climate change impacts on water resources"," HYDROL SCI J UNPUB"
2,"Uncertainty in climate change impacts on water resources"," HDB APPL HYDROLOGY"
2,"Uncertainty in climate change impacts on water resources"," ENVIRON RES LETT"
2,"Uncertainty in climate change impacts on water resources"," CLIMATIC CHANGE"
2,"Uncertainty in climate change impacts on water resources"," HYDROLOG SCI J"
2,"Uncertainty in climate change impacts on water resources"," HYDROLOG SCI J"
2,"Uncertainty in climate change impacts on water resources"," WIRES CLIM CHANGE"
2,"Uncertainty in climate change impacts on water resources"," HYDROLOG SCI J"
2,"Uncertainty in climate change impacts on water resources"," ENVIRON SCI POLICY"
2,"Uncertainty in climate change impacts on water resources"," ORGAN BEHAV HUM DEC"
2,"Uncertainty in climate change impacts on water resources"," ESSENCE CHAOS"
2,"Uncertainty in climate change impacts on water resources"," CLIMATE CHANGE 2014"
2,"Uncertainty in climate change impacts on water resources"," J AM WATER RESOUR AS"
2,"Uncertainty in climate change impacts on water resources"," GUIDANCE NOTE LEAD A"
2,"Uncertainty in climate change impacts on water resources"," POLLYANNA PRINCIPLE"
2,"Uncertainty in climate change impacts on water resources"," CLIMATIC CHANGE"
2,"Uncertainty in climate change impacts on water resources"," ENVIRON SCI POLICY"
2,"Uncertainty in climate change impacts on water resources"," SPECIAL REPORT EMISS"
2,"Uncertainty in climate change impacts on water resources"," HYDROLOG SCI J"
2,"Uncertainty in climate change impacts on water resources"," CLIMATIC CHANGE"
