"uid","article","citedjournal"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," BIOMIMICRY"
1,"Circular Economy: The Concept and its Limitations"," BIOMIMICRY INNOVATIO"
1,"Circular Economy: The Concept and its Limitations"," ENERG POLICY"
1,"Circular Economy: The Concept and its Limitations"," ENV QUALITY ISSUES G"
1,"Circular Economy: The Concept and its Limitations"," J IND ECOL"
1,"Circular Economy: The Concept and its Limitations"," CRADLE CRADLE REMAKI"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," ECO EC UPDATE 2006 1"
1,"Circular Economy: The Concept and its Limitations"," J IND ECOL"
1,"Circular Economy: The Concept and its Limitations"," ANNU REV ENERG ENV"
1,"Circular Economy: The Concept and its Limitations"," CIRC EC CRIT LIT REV"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," GROWTH EC SUSTAINABL"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," ENTREP REGION DEV"
1,"Circular Economy: The Concept and its Limitations"," AM SOCIOL REV"
1,"Circular Economy: The Concept and its Limitations"," AM BEHAV SCI"
1,"Circular Economy: The Concept and its Limitations"," CIRC EC"
1,"Circular Economy: The Concept and its Limitations"," CIRC EC REP"
1,"Circular Economy: The Concept and its Limitations"," GROWTH CIRC EC VIS C"
1,"Circular Economy: The Concept and its Limitations"," KIERT MAHD SUOM"
1,"Circular Economy: The Concept and its Limitations"," GLOBAL ENVIRON CHANG"
1,"Circular Economy: The Concept and its Limitations"," SCI AM"
1,"Circular Economy: The Concept and its Limitations"," ENTROPY LAW EC PROCE"
1,"Circular Economy: The Concept and its Limitations"," ANNU REV ENERG ENV"
1,"Circular Economy: The Concept and its Limitations"," J IND ECOL"
1,"Circular Economy: The Concept and its Limitations"," NATURAL CAPITALISM C"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," P NATL ACAD SCI USA"
1,"Circular Economy: The Concept and its Limitations"," SEARCH"
1,"Circular Economy: The Concept and its Limitations"," SCIENCE"
1,"Circular Economy: The Concept and its Limitations"," PLOS ONE"
1,"Circular Economy: The Concept and its Limitations"," BUSINESS STRATEGY EN"
1,"Circular Economy: The Concept and its Limitations"," International Journal of Agricultural Resources"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," BUSINESS STRATEGY EN"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," HDB IND ECOLOGY"
1,"Circular Economy: The Concept and its Limitations"," ENVIRON SCI TECHNOL"
1,"Circular Economy: The Concept and its Limitations"," SCIENCE"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," SUSTAINING ARCHITECT"
1,"Circular Economy: The Concept and its Limitations"," ENVIRON SCI TECHNOL"
1,"Circular Economy: The Concept and its Limitations"," J MATER CYCLES WASTE"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," J IND ECOL"
1,"Circular Economy: The Concept and its Limitations"," BLUE EC 10 YEARS 100"
1,"Circular Economy: The Concept and its Limitations"," REDEFINING CONCEPTS"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," ECOL ECON"
1,"Circular Economy: The Concept and its Limitations"," ECOL SOC"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," NATURE"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," BUSINESS STRATEGY EN"
1,"Circular Economy: The Concept and its Limitations"," PERFORMANCE EC"
1,"Circular Economy: The Concept and its Limitations"," PERFORMANCE ECONOMY"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," J CLEAN PROD"
1,"Circular Economy: The Concept and its Limitations"," OUR COMMON FUTURE"
1,"Circular Economy: The Concept and its Limitations"," J IND ECOL"
1,"Circular Economy: The Concept and its Limitations"," CORPORATE ENV MANAGE"
1,"Circular Economy: The Concept and its Limitations"," BUSINESS STRATEGY EN"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," MANAGE SCI"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," REV ECON-FR"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," HANDB SOCIOL SOC RES"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," J IND ECOL"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," HDB THEORIES GOVERNA"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," INT J SUST HIGHER ED"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," OPPORTUNITIES CIRCUL"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," ENVIRON INNOV SOC TR"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," PS"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," J IND ECOL"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," J IND PROD ENG"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," J IND ECOL"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," BIO WEB CONF"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," EC COMING SPACESHIP"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," RESOUR CONSERV RECY"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," ECOINNOVATION SUSTAI"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," INNOVATORS DILEININA"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," HOM"
2,"Barriers to the Circular Economy: Evidence From the European Union (EU)"," J MOTIVATION EMOTION"
