"uid","article","citedjournal"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," AM POLIT SCI REV"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J EUR PUBLIC POLICY"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," UNDERSTANDING REGULA"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," POLICY ACTION ESSAYS"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J COMP POLICY ANAL"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J EUROPEAN INTEGRATI"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," EUROPEAN ENERGY ENV"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," SCI TOTAL ENVIRON"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," ENVIRON PLANN B"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," IMPLEMENTING EU ENV"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," WHY THERE IS NOT SO"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J EUR PUBLIC POLICY"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," COMP POLICY STUDIES"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," JCMS-J COMMON MARK S"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," POLITICS EUROPEANIZA"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J EUROPEAN INTEGRATI"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," EUR UNION POLIT"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," WEST EUR POLIT"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," PUBLIC ADMIN"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," COMMON GOODS REINVEN"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," PUBLIC MANAGEMENT RE"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," STUDYING PUBLIC POLI"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," COMP POLICY STUDIES"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," DELIBERATE DISCRETIO"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," PUBLIC POLICY ADMIN"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," PUBLIC POLICY ADMIN"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," PUBLIC POLICY ADMIN"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J EUR ENVIRON PLAN L"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," THEORIES POLICY PROC"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," CONTENT ANAL INTRO I"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J EUR PUBLIC POLICY"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," IMPLEMENTING EU ENV"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," CRC SER COMPET REGUL"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," REGUL GOV"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," EUR UNION POLIT"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," IRELAND EUROPEAN UNI"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," SOC LEGAL STUD"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," ENVIRON POLICY GOV"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," LAND USE POLICY"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," POLICY MAKING PROCES"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J EUR PUBLIC POLICY"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," ENVIRON PLANN B"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," HDB PUBLIC ADM"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J POLICY ANAL MANAG"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy",NA
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," LAND USE POLICY"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," Environmental Policy and Governance"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J EUR PUBLIC POLICY"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," SYSTEMATIC REVIEWS IN THE SOCIAL SCIENCES: A PRACTICAL GUIDE"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J APPL COMMUN RES"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," REGULATORY QUALITY E"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," PUBLIC POLICY ADMIN"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J COMP POLICY ANAL"
