"uid","article","citedjournal"
1,"Adsorption of VOCs on reduced graphene oxide"," J ENVIRON MANAGE"
1,"Adsorption of VOCs on reduced graphene oxide"," ENVIRON SCI TECHNOL"
1,"Adsorption of VOCs on reduced graphene oxide"," SCI TOTAL ENVIRON"
1,"Adsorption of VOCs on reduced graphene oxide"," LANGMUIR"
1,"Adsorption of VOCs on reduced graphene oxide"," MICROPOR MESOPOR MAT"
1,"Adsorption of VOCs on reduced graphene oxide"," CHEM ENG RES DES"
1,"Adsorption of VOCs on reduced graphene oxide"," ENVIRON SCI TECHNOL"
1,"Adsorption of VOCs on reduced graphene oxide"," CERAM INT"
1,"Adsorption of VOCs on reduced graphene oxide"," CHEM ENG J"
1,"Adsorption of VOCs on reduced graphene oxide"," J PHYS CHEM C"
1,"Adsorption of VOCs on reduced graphene oxide"," J HAZARD MATER"
1,"Adsorption of VOCs on reduced graphene oxide"," CHEM ENG J"
1,"Adsorption of VOCs on reduced graphene oxide"," APPL CATAL B-ENVIRON"
1,"Adsorption of VOCs on reduced graphene oxide"," APPL CATAL B-ENVIRON"
1,"Adsorption of VOCs on reduced graphene oxide"," CHEM ENG J"
1,"Adsorption of VOCs on reduced graphene oxide"," INT J HYDROGEN ENERG"
1,"Adsorption of VOCs on reduced graphene oxide"," APPL SURF SCI"
1,"Adsorption of VOCs on reduced graphene oxide"," SCI TOTAL ENVIRON"
1,"Adsorption of VOCs on reduced graphene oxide"," J MATER CHEM A"
1,"Adsorption of VOCs on reduced graphene oxide"," APPL CATAL A-GEN"
1,"Adsorption of VOCs on reduced graphene oxide"," ENVIRON SCI TECHNOL"
1,"Adsorption of VOCs on reduced graphene oxide"," ENVIRON SCI TECHNOL"
1,"Adsorption of VOCs on reduced graphene oxide"," J POROUS MAT"
1,"Adsorption of VOCs on reduced graphene oxide"," J MATER CHEM A"
1,"Adsorption of VOCs on reduced graphene oxide"," ENVIRON SCI TECHNOL"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," ADSORPTION"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CATAL TODAY"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J CHEM ENG DATA"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CARBON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CARBON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J AM CHEM SOC"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CARBON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CARBON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CARBON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," STRUCTURE PROPERTIES"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J COLLOID INTERF SCI"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," ENVIRON TECHNOL"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CARBON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," INT COMMUN HEAT MASS"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J COLLOID INTERF SCI"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CHEM ENG SCI"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CHEM ENG J"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J CHEM ENG DATA"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," PROCESS BIOCHEM"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," ADSORPT SCI TECHNOL"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," ADSORPTION PORE SIZE"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," PLASMA PROCESS POLYM"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J HAZARD MATER"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CHEM ENG SCI"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," APPL CATAL B-ENVIRON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J COLLOID INTERF SCI"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J HAZARD MATER"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," ADSORPTION"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CARBON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," [环境工程学报"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," Journal of Central South University (Science and Technology)"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CARBON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," FUEL"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," ATMOS ENVIRON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CARBON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," BUILD ENVIRON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CHEM ENG J"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J COLLOID INTERF SCI"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," MICROPOR MESOPOR MAT"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," PURE APPL CHEM"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J HAZARD MATER"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CARBON"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J SUPERCRIT FLUID"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J COLLOID INTERF SCI"
