"uid","article","citedjournal"
1,"Thresholds in climate migration"," ADAPTING TO CLIMATE CHANGE: THRESHOLDS"
1,"Thresholds in climate migration"," MODERN EC"
1,"Thresholds in climate migration"," ADDR CLIM CHANG MIGR"
1,"Thresholds in climate migration"," POPUL ENVIRON"
1,"Thresholds in climate migration"," CULTURAL HIST CLIMAT"
1,"Thresholds in climate migration"," SUSTAIN SCI"
1,"Thresholds in climate migration"," ENVIRON SCI POLICY"
1,"Thresholds in climate migration"," GLOBAL ENVIRON CHANG"
1,"Thresholds in climate migration"," NATURE"
1,"Thresholds in climate migration"," CLIMATIC CHANGE"
1,"Thresholds in climate migration"," AGE MIGRATION INT PO"
1,"Thresholds in climate migration"," J ETHN MIGR STUD"
1,"Thresholds in climate migration"," CLIMATIC CHANGE"
1,"Thresholds in climate migration"," NATURE"
1,"Thresholds in climate migration"," POPUL ENVIRON"
1,"Thresholds in climate migration"," GEOPHYS RES LETT"
1,"Thresholds in climate migration"," POPULATION TRENDS OK"
1,"Thresholds in climate migration"," J ETHN MIGR STUD"
1,"Thresholds in climate migration"," INT MIGR REV"
1,"Thresholds in climate migration"," FOR MIGR GLOB ENV CH"
1,"Thresholds in climate migration"," SUSTAIN SCI"
1,"Thresholds in climate migration"," POPUL ENVIRON"
1,"Thresholds in climate migration"," CLIMATIC CHANGE"
1,"Thresholds in climate migration"," POPUL ENVIRON"
1,"Thresholds in climate migration"," TIPPING POINT LITTLE"
1,"Thresholds in climate migration"," AM J SOCIOL"
1,"Thresholds in climate migration"," P NATL ACAD SCI USA"
1,"Thresholds in climate migration"," AM EXODUS DUST BOWL"
1,"Thresholds in climate migration"," METROPOLITAN AREA RA"
1,"Thresholds in climate migration"," ANNU REV ECOL SYST"
1,"Thresholds in climate migration"," Annual Rev Ecol Syst"
1,"Thresholds in climate migration"," Asian Pac Migr J"
1,"Thresholds in climate migration"," INT MIGR REV"
1,"Thresholds in climate migration"," MIGRATION DEV ENV GE"
1,"Thresholds in climate migration"," ASIAN POPULATION STU"
1,"Thresholds in climate migration"," CLIMATE CHANGE UNPUB"
1,"Thresholds in climate migration"," GLOB MIGRAT ISS"
1,"Thresholds in climate migration"," GLOBAL ENVIRON CHANG"
1,"Thresholds in climate migration"," CLIM POLICY"
1,"Thresholds in climate migration"," REV PALAEOBOT PALYNO"
1,"Thresholds in climate migration"," J DEV STUD"
1,"Thresholds in climate migration"," GLOBAL ENVIRON CHANG"
1,"Thresholds in climate migration"," J ETHN MIGR STUD"
1,"Thresholds in climate migration"," GLOBAL ENVIRON CHANG"
1,"Thresholds in climate migration"," POPUL ENVIRON"
1,"Thresholds in climate migration"," CAN GEOGR-GEOGR CAN"
1,"Thresholds in climate migration"," CLIMATE HIST MODERN"
1,"Thresholds in climate migration"," NAT CLIM CHANGE"
1,"Thresholds in climate migration"," GEOGR ANAL"
1,"Thresholds in climate migration"," INT DEV PLANN REV"
1,"Thresholds in climate migration"," POPUL INDEX"
1,"Thresholds in climate migration"," AM J SOCIOL"
1,"Thresholds in climate migration"," CLIMATIC CHANGE"
1,"Thresholds in climate migration"," GREAT PLAINS QUART"
1,"Thresholds in climate migration"," DISENTANGLING MIGRAT"
1,"Thresholds in climate migration"," CLIMATE HUMAN MIGRAT"
1,"Thresholds in climate migration"," MITIG ADAPT STRAT GL"
1,"Thresholds in climate migration"," POPUL ENVIRON"
1,"Thresholds in climate migration"," J HIST GEOGR"
1,"Thresholds in climate migration"," POPUL ENVIRON"
1,"Thresholds in climate migration"," GLOBAL ENVIRON CHANG"
1,"Thresholds in climate migration"," ADV GLOB CHANGE RES"
1,"Thresholds in climate migration"," EVOL APPL"
1,"Thresholds in climate migration"," CLIMATIC CHANGE"
1,"Thresholds in climate migration"," WORLD DEV"
1,"Thresholds in climate migration"," GLOBAL ENVIRON CHANG"
1,"Thresholds in climate migration"," WEATHER"
1,"Thresholds in climate migration"," CLIMATIC CHANGE"
1,"Thresholds in climate migration"," POPUL ENVIRON"
1,"Thresholds in climate migration"," ENVIRON SCI POLICY"
1,"Thresholds in climate migration"," SCIENCE"
1,"Thresholds in climate migration"," SUSTAINABILITY-BASEL"
1,"Thresholds in climate migration"," CLIMATE CHANGE 2014: IMPACTS"
1,"Thresholds in climate migration"," DISASTERS"
1,"Thresholds in climate migration"," ENVIRONMENTS"
1,"Thresholds in climate migration"," ENV MIGRATION SOCIAL"
1,"Thresholds in climate migration"," MICROMOTIVES MACROBE"
1,"Thresholds in climate migration"," AM J PREV MED"
1,"Thresholds in climate migration"," INT MIGR"
1,"Thresholds in climate migration"," Mitigation and Adaptation Strategies for Global Change"
1,"Thresholds in climate migration"," GLOBAL ENVIRON CHANG"
1,"Thresholds in climate migration"," CLIM DEV"
1,"Thresholds in climate migration"," DEMOGRAPHY"
1,"Thresholds in climate migration"," AM ECON REV"
1,"Thresholds in climate migration"," CONTRIBUTION WORKING"
1,"Thresholds in climate migration"," ENVIRON URBAN"
1,"Thresholds in climate migration"," GLOBAL ENVIRON CHANG"
1,"Thresholds in climate migration"," CLIM DEV"
1,"Thresholds in climate migration"," WIRES CLIM CHANGE"
1,"Thresholds in climate migration"," J SOC ISSUES"
2,"""The uneven geography of research on """"environmental migration"""""""," MIGRATION DEV"
2,"""The uneven geography of research on """"environmental migration"""""""," INT MIGR"
2,"""The uneven geography of research on """"environmental migration"""""""," ENVIRON PLANN A"
2,"""The uneven geography of research on """"environmental migration"""""""," CRITICAL STUDIES SEC"
2,"""The uneven geography of research on """"environmental migration"""""""," LABOUR MIGRATION RES"
2,"""The uneven geography of research on """"environmental migration"""""""," POPUL ENVIRON"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOBAL ENVIRON CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," GEOGR J"
2,"""The uneven geography of research on """"environmental migration"""""""," POPUL ENVIRON"
2,"""The uneven geography of research on """"environmental migration"""""""," NATURE"
2,"""The uneven geography of research on """"environmental migration"""""""," 34 UNHCR"
2,"""The uneven geography of research on """"environmental migration"""""""," NAT CLIM CHANGE"
2,"""The uneven geography of research on """"environmental migration"""""""," CLIMATE MIGRATION SE"
2,"""The uneven geography of research on """"environmental migration"""""""," PROF GEOGR"
2,"""The uneven geography of research on """"environmental migration"""""""," GEOFORUM"
2,"""The uneven geography of research on """"environmental migration"""""""," LIVING WITH THE LAKE"
2,"""The uneven geography of research on """"environmental migration"""""""," CLIM DEV"
2,"""The uneven geography of research on """"environmental migration"""""""," AGR APPL EC ASS 2013"
2,"""The uneven geography of research on """"environmental migration"""""""," 70 UNHCR"
2,"""The uneven geography of research on """"environmental migration"""""""," ENVIRON RES LETT"
2,"""The uneven geography of research on """"environmental migration"""""""," FRONT ECOL ENVIRON"
2,"""The uneven geography of research on """"environmental migration"""""""," NAT SEC THREAT CLIM"
2,"""The uneven geography of research on """"environmental migration"""""""," CLIMATE REFUGEES"
2,"""The uneven geography of research on """"environmental migration"""""""," MIGRATION CLIMATE CH"
2,"""The uneven geography of research on """"environmental migration"""""""," UNDERSTANDING GLOBAL"
2,"""The uneven geography of research on """"environmental migration"""""""," SCIENCE"
2,"""The uneven geography of research on """"environmental migration"""""""," SECURITY NEW FRAMEWO"
2,"""The uneven geography of research on """"environmental migration"""""""," GEOGRAPHY SCI"
2,"""The uneven geography of research on """"environmental migration"""""""," RES GUID"
2,"""The uneven geography of research on """"environmental migration"""""""," ENV REFUGEES"
2,"""The uneven geography of research on """"environmental migration"""""""," POPUL ENVIRON"
2,"""The uneven geography of research on """"environmental migration"""""""," ENVIRON PLANN A"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOBAL ENVIRON CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," INT MIGR REV"
2,"""The uneven geography of research on """"environmental migration"""""""," MIGR GLOB ENV CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," J INFORMETR"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOBAL ENVIRON CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," MIGRATION CLIMATE CH"
2,"""The uneven geography of research on """"environmental migration"""""""," GEOGR J"
2,"""The uneven geography of research on """"environmental migration"""""""," CLIMATIC CHANGE"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOBAL ENVIRON CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," POPUL ENVIRON"
2,"""The uneven geography of research on """"environmental migration"""""""," MIGRATION DEV"
2,"""The uneven geography of research on """"environmental migration"""""""," AN SIL CRIS"
2,"""The uneven geography of research on """"environmental migration"""""""," WORLD DEV"
2,"""The uneven geography of research on """"environmental migration"""""""," ADV GLOB CHANGE RES"
2,"""The uneven geography of research on """"environmental migration"""""""," POPUL ENVIRON"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOBAL ENVIRON CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," INT MIGR REV"
2,"""The uneven geography of research on """"environmental migration"""""""," CROSS BORDER M UNPUB"
2,"""The uneven geography of research on """"environmental migration"""""""," MIGRATION CLIMATE CH"
2,"""The uneven geography of research on """"environmental migration"""""""," MIGRATION CLIMATE CH"
2,"""The uneven geography of research on """"environmental migration"""""""," INTRO MIGRATION CLIM"
2,"""The uneven geography of research on """"environmental migration"""""""," ENV LEADERSHIP REFER"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOB CHANG RES C 3 2"
2,"""The uneven geography of research on """"environmental migration"""""""," CLIMATE CHANGE MIGRA"
2,"""The uneven geography of research on """"environmental migration"""""""," MIGRATION DEV ENV"
2,"""The uneven geography of research on """"environmental migration"""""""," MIGRATION PUBLIC POL"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOB MIGRAT ISS"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOBAL ENVIRON CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," MIGRATION CLIMATE CH"
2,"""The uneven geography of research on """"environmental migration"""""""," ANNU REV SOCIOL"
2,"""The uneven geography of research on """"environmental migration"""""""," CIVILIZATION CLIMATE"
2,"""The uneven geography of research on """"environmental migration"""""""," CLIM CHANG 2014 IMP"
2,"""The uneven geography of research on """"environmental migration"""""""," APP A PRINC GOV IPCC"
2,"""The uneven geography of research on """"environmental migration"""""""," CLIM CHANG IPCC IMP"
2,"""The uneven geography of research on """"environmental migration"""""""," CLIMATE CHANGE 2014"
2,"""The uneven geography of research on """"environmental migration"""""""," 86 WORLDW"
2,"""The uneven geography of research on """"environmental migration"""""""," EACH FOR ENV CHANGE"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOB MIGRAT ISS"
2,"""The uneven geography of research on """"environmental migration"""""""," ENVIRON SCI POLICY"
2,"""The uneven geography of research on """"environmental migration"""""""," DISASTERS"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOBAL ENVIRON CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," MIGRATION CLIMATE CH"
2,"""The uneven geography of research on """"environmental migration"""""""," REFUGE"
2,"""The uneven geography of research on """"environmental migration"""""""," ENVIRON PLANN D"
2,"""The uneven geography of research on """"environmental migration"""""""," POPUL ENVIRON"
2,"""The uneven geography of research on """"environmental migration"""""""," J REFUG STUD"
2,"""The uneven geography of research on """"environmental migration"""""""," CLIMATIC CHANGE"
2,"""The uneven geography of research on """"environmental migration"""""""," ANNU REV ANTHROPOL"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOBAL ENVIRON CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," J DEV STUD"
2,"""The uneven geography of research on """"environmental migration"""""""," U NEW S WALES FACULT"
2,"""The uneven geography of research on """"environmental migration"""""""," CLIMATE CHANGE DISPL"
2,"""The uneven geography of research on """"environmental migration"""""""," REFUGE"
2,"""The uneven geography of research on """"environmental migration"""""""," DEV POLICY REV"
2,"""The uneven geography of research on """"environmental migration"""""""," GEOGRAPHY REFUGEES P"
2,"""The uneven geography of research on """"environmental migration"""""""," MITIG ADAPT STRAT GL"
2,"""The uneven geography of research on """"environmental migration"""""""," J HIST GEOGR"
2,"""The uneven geography of research on """"environmental migration"""""""," POPUL ENVIRON"
2,"""The uneven geography of research on """"environmental migration"""""""," SECUR DIALOGUE"
2,"""The uneven geography of research on """"environmental migration"""""""," EARTH SYST DYNAM DIS"
2,"""The uneven geography of research on """"environmental migration"""""""," WIRES CLIM CHANGE"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOB MIGRAT ISS"
2,"""The uneven geography of research on """"environmental migration"""""""," SECURITIZATION"
2,"""The uneven geography of research on """"environmental migration"""""""," CLIM DEV"
2,"""The uneven geography of research on """"environmental migration"""""""," PHILOS T R SOC B"
2,"""The uneven geography of research on """"environmental migration"""""""," POPUL ENVIRON"
2,"""The uneven geography of research on """"environmental migration"""""""," ENVIRON RES LETT"
2,"""The uneven geography of research on """"environmental migration"""""""," HUM ECOL"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOBAL ENVIRON CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," POPUL ENVIRON"
2,"""The uneven geography of research on """"environmental migration"""""""," AREA"
2,"""The uneven geography of research on """"environmental migration"""""""," GEOFORUM"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOBAL ENVIRON CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOBAL ENVIRON CHANG"
2,"""The uneven geography of research on """"environmental migration"""""""," POP STUD-J DEMOG"
2,"""The uneven geography of research on """"environmental migration"""""""," AM SOCIOL REV"
2,"""The uneven geography of research on """"environmental migration"""""""," GLOB MIGRAT ISS"
2,"""The uneven geography of research on """"environmental migration"""""""," 15 UN HIGH COMM REF"
2,"""The uneven geography of research on """"environmental migration"""""""," ANN ASSOC AM GEOGR"
2,"""The uneven geography of research on """"environmental migration"""""""," WIRES CLIM CHANGE"
2,"""The uneven geography of research on """"environmental migration"""""""," CONSERV BIOL"
2,"""The uneven geography of research on """"environmental migration"""""""," SOC SCI QUART"
